X17254_at,X65965_s_at,U70987_at,X65965_s_at,X55733_at,U30828_at,D30037_at,X65965_s_at,Y08765_s_at,J05243_at,Y08765_s_at,D49950_at,J02986_cds1_at,X17042_at,J02986_cds1_at,U57623_s_at,D50914_at,L27476_at,K01911_at,U90552_s_at,U60205_at,X14329_at,M74719_at,U61263_at,U11090_at,HG1227-HT1227_s_at,D84294_at,M98528_at,X75755_rna1_s_at,HG1227-HT1227_s_at,X75755_rna1_s_at,X68560_at,X75755_rna1_s_at,U22055_at,D21852_at,U61263_at,U65785_at,M99436_at,M59815_at,HG3513-HT3707_at,L20433_at,U10362_at,U07158_at,X87838_at,L20433_at,D63880_at,M62505_at,M11722_at,S73813_at,HG2591-HT2687_s_at,S73813_at,J02783_at,D29643_at,X87838_at,U20759_s_at,X87838_at,D29643_at,U94831_at,X76013_at,HG67-HT67_f_at,U83461_at,U36922_at,M27891_at,U36922_at,U70867_at,U94831_at,S78873_s_at,X80818_at,X67698_at,X00038_at,M32304_s_at,X80818_at,M28170_at,U33017_at,M28170_at,Z54367_s_at,D11139_at,U47634_at,M28170_at,M15841_at,M28170_at,M15841_at,M28170_at,U21551_at,S69231_s_at,U09587_at,S69231_s_at,J03909_at,M28170_at,HG2639-HT2735_s_at,U51240_at,M19301_at,X91103_at,M29474_at,V01510_rna1_at,Z11518_s_at,X77909_at,Z32765_at,M83186_at,M64788_at
328,1268,-367,1268,3647,75,97,1268,1758,628,1758,259,165,3259,165,549,126,93,31,1021,13,767,1269,813,1179,-433,775,-206,505,-433,505,219,505,1810,489,813,1107,-89,834,52,-465,-124,739,2022,-465,283,-120,1284,272,-246,272,267,1878,2022,-247,2022,1878,358,2255,-38,155,103,12339,103,292,358,266,3767,3914,-43,1206,3767,-49,-556,-49,1841,26,719,-49,137,-49,137,-49,182,-625,868,-625,2596,-49,722,6517,122,69,18,-1118,35,51,2182,-123,-780
679,7501,-206,7501,3264,-138,78,7501,1078,-44,1078,100,258,8855,258,564,-159,176,-133,828,-139,942,974,935,1519,-416,223,-128,322,-416,322,334,322,1754,64,935,1304,-577,1112,53,-575,49,968,3450,-575,151,481,58,101,-695,101,1140,932,3450,-109,3450,932,473,1285,-88,193,154,3654,154,902,473,54,4148,2856,-39,1835,4148,18,-704,18,1263,105,1494,18,289,18,289,18,238,-332,950,-332,6692,18,955,4738,70,215,15,-1673,41,605,2868,-139,-2277
984,469,-150,469,2706,-113,-30,469,1643,206,1643,355,325,8518,325,356,-31,94,22,173,-47,505,532,590,1242,-164,480,-117,510,-164,510,129,510,1751,381,590,1157,-347,1179,-11,-461,-64,1107,1181,-461,226,-338,454,289,-891,289,1342,1413,1181,-314,1181,1413,576,2281,-256,240,-33,1537,-33,883,576,-103,3963,1210,-53,1118,3963,-11,-531,-11,842,-104,299,-11,138,-11,138,-11,154,-724,1167,-724,685,-11,456,1813,27,52,-162,-611,50,-88,1748,-172,-1479
394,290,-197,290,1084,-60,-24,290,317,-16,317,295,331,3628,331,290,158,100,45,269,-110,714,197,562,1130,-161,524,69,290,-161,290,36,290,1502,259,562,721,-55,1118,12,-158,33,408,916,-158,-4,-440,2,98,-973,98,509,625,916,-274,916,625,310,1738,-221,182,-110,1481,-110,839,310,-214,2104,709,-48,1108,2104,67,-550,67,-9,129,779,67,257,67,257,67,165,-637,1007,-637,149,67,415,2469,67,86,-24,-730,117,293,2108,67,-868
588,17703,-275,17703,1351,-262,112,17703,1100,-92,1100,283,249,10603,249,485,-55,241,-86,613,119,92,101,376,1045,-267,244,46,471,-267,471,123,471,2244,229,376,1473,-56,729,31,-558,609,689,2232,-558,410,269,455,116,-1161,116,3070,2643,2232,-162,2232,2643,557,1841,-215,328,21,17863,21,760,557,20,3876,3633,-65,2892,3876,-47,-606,-47,1780,-232,971,-47,218,-47,218,-47,138,-391,1292,-391,6127,-47,832,4664,53,168,-88,-943,86,15,4437,83,-2205
908,13557,-345,13557,2952,4,27,13557,764,87,764,311,303,8479,303,440,333,228,-25,324,-63,1044,262,724,712,-133,293,-41,265,-133,265,185,265,1436,221,724,802,-547,1301,64,-501,25,495,2940,-501,185,289,297,209,-1608,209,1649,1581,2940,-173,2940,1581,-194,2175,-100,241,2,13296,2,313,-194,145,3058,1450,-224,1271,3058,-21,-589,-21,1026,-38,1041,-21,189,-21,189,-21,108,-144,1859,-144,3832,-21,660,6595,-2,65,-93,-1091,62,342,3572,-91,-1731
1325,767,-483,767,2046,-88,52,767,991,71,991,70,268,1285,268,553,0,165,101,403,-47,1171,500,911,998,-171,156,-29,372,-171,372,174,372,1467,147,911,1021,-73,839,42,-433,292,467,1949,-433,118,-444,166,83,-356,83,1051,881,1949,-153,1949,881,-299,2461,-45,111,91,1661,91,745,-299,210,2047,708,-90,1887,2047,-18,-514,-18,456,-73,847,-18,133,-18,133,-18,143,-204,1594,-204,-59,-18,563,2502,89,152,-51,-1225,-11,509,3523,-265,-1333
345,1923,-185,1923,2252,-19,156,1923,782,786,782,214,241,33,241,422,234,125,946,369,-120,994,2739,644,1192,-113,258,-135,294,-113,294,193,294,907,412,644,1255,-224,567,-55,-207,154,258,687,-207,166,-374,8700,140,-248,140,-21,726,687,-111,687,726,325,924,-36,212,166,-65,166,934,325,-96,3295,813,7,584,3295,67,-598,67,434,12,468,67,284,67,284,67,173,-762,695,-762,-74,67,304,11027,21,224,506,-707,89,424,1409,-53,-1202
-153,234,-222,234,1216,84,70,234,341,994,341,234,288,1269,288,418,187,92,-98,1526,-36,323,1856,437,1137,-221,291,-184,461,-221,461,128,461,1240,426,437,629,-55,98,24,-414,-367,467,1109,-414,-23,-547,4614,317,-1143,317,1095,594,1109,-257,1109,594,560,1606,-543,125,213,68,213,1338,560,-79,1594,446,-136,1226,1594,437,-853,437,199,-5,562,437,155,437,155,437,288,-269,821,-269,445,437,496,3004,43,71,54,-664,64,-64,2100,99,-1016
252,128,-46,128,2418,-79,100,128,212,615,212,-4,76,1183,76,104,480,139,136,521,65,252,457,417,400,-233,579,-112,314,-233,314,665,314,1955,541,417,635,10,277,6,-162,322,361,1274,-162,867,-53,1487,34,-244,34,754,900,1274,-70,1274,900,308,2628,-28,90,264,-125,264,289,308,118,1236,876,-153,369,1236,84,-237,84,190,18,424,84,458,84,458,84,164,-273,978,-273,244,84,328,6092,34,-3,175,-330,211,95,1105,81,-612
367,4048,-221,4048,2079,225,80,4048,333,233,333,35,121,1045,121,300,456,214,3943,771,-64,548,2501,833,709,-145,746,179,814,-145,814,237,814,1370,416,833,801,34,963,66,-338,331,432,826,-338,376,-385,4357,98,283,98,872,760,826,-113,826,760,-579,1775,20,124,700,250,700,413,-579,497,1757,1548,-164,586,1757,-22,-374,-22,152,73,716,-22,265,-22,265,-22,33,-483,2014,-483,167,-22,541,10820,-9,84,102,-728,106,424,1939,-150,-526
829,552,-81,552,1709,367,86,552,221,853,221,43,96,7064,96,302,124,295,788,706,74,358,1495,567,629,-55,769,96,451,-55,451,401,451,665,401,567,749,-511,478,4,-326,447,418,723,-326,586,-153,7540,158,-773,158,896,329,723,-81,723,329,305,1550,197,60,850,-96,850,391,305,312,682,735,24,701,682,420,-314,420,425,93,295,420,122,420,122,420,100,-353,1408,-353,370,420,242,7117,21,-16,874,-185,127,185,2074,-36,-511
-102,210,-118,210,1971,182,108,210,90,773,90,97,-97,155,-97,160,148,198,2758,504,-72,372,2425,619,637,-97,548,169,450,-97,450,484,450,566,489,619,590,-160,404,84,-207,-563,391,827,-207,560,-219,8791,134,249,134,492,1006,827,-186,827,1006,484,1713,-197,115,916,502,916,315,484,169,1313,578,23,240,1313,180,-274,180,223,2,388,180,-16,180,-16,180,170,-188,1025,-188,160,180,369,9766,-5,-41,2189,-278,127,62,890,-211,-847
-125,1030,-255,1030,3092,-140,98,1030,21,382,21,142,-359,1327,-359,142,541,269,2346,368,142,171,2756,391,385,-3,942,42,467,-3,467,317,467,1028,403,391,782,-253,-37,104,-238,-1383,293,411,-238,462,-129,12307,425,-323,425,329,1087,411,-270,411,1087,202,1713,-208,0,151,78,151,246,202,195,1592,1062,35,455,1592,32,-314,32,274,-103,212,32,-1062,32,-1062,32,86,-592,669,-592,318,32,194,11375,102,-18,309,-647,174,-212,983,143,-1208
150,779,-127,779,2282,14,197,779,245,443,245,80,155,283,155,176,330,102,2245,704,-8,306,4097,521,518,-80,756,-49,447,-80,447,259,447,1290,340,521,593,-170,362,23,88,14,493,398,88,368,-92,5433,119,-103,119,446,922,398,-23,398,922,346,1672,41,63,118,49,118,228,346,4,1504,1006,-106,436,1504,313,-215,313,521,-38,414,313,358,313,358,313,1,-257,695,-257,1171,313,323,6753,-17,18,63,-340,98,90,929,-90,-589
189,369,-119,369,1588,332,48,369,88,510,88,191,100,2450,100,317,134,342,-67,558,128,138,1971,550,680,12,941,12,388,12,388,462,388,1863,468,550,1134,-111,-60,-77,-8,294,680,1365,-8,741,-187,7369,149,-174,149,561,1168,1365,-121,1365,1168,233,1550,42,178,-33,107,-33,432,233,300,1681,1033,48,582,1681,2,-308,2,258,6,468,2,195,2,195,2,229,-529,1660,-529,1342,2,100,6392,10,2,105,-304,149,144,1422,252,-31
373,516,-171,516,1357,174,164,516,516,598,516,51,114,1537,114,258,208,502,4399,2695,44,543,4215,717,1028,-92,2366,-131,959,-92,959,1132,959,1922,685,717,865,-14,730,37,-19,132,513,2648,-19,579,-325,7216,150,-282,150,956,1262,2648,-113,2648,1262,762,2784,100,233,1026,-177,1026,156,762,189,2819,2885,-110,1114,2819,275,-320,275,210,-16,529,275,1024,275,1024,275,64,-425,2294,-425,749,275,232,7528,24,67,139,-551,152,329,1890,-39,-1132
19,354,-139,354,2658,-229,35,354,595,861,595,128,245,690,245,680,245,455,311,1055,-1,1406,1118,804,1812,-215,424,-149,447,-215,447,313,447,901,708,804,1250,-52,1052,42,-521,-141,638,1300,-521,391,-569,6603,142,-680,142,-569,1047,1300,-193,1300,1047,-917,1108,-112,188,306,394,306,180,-917,-602,3874,649,-65,504,3874,457,-869,457,525,-193,877,457,183,457,183,457,245,-928,1930,-928,86,457,339,3665,151,103,37,-991,99,136,2205,-262,-2859
237,287,-104,287,1984,-134,49,287,424,421,424,74,217,2057,217,366,816,74,416,486,29,601,127,554,848,-77,199,-74,307,-77,307,224,307,1490,267,554,751,27,539,-4,-289,157,244,818,-289,449,-282,1595,72,-259,72,441,641,818,-189,818,641,232,2122,-129,37,0,359,0,406,232,142,2484,606,-87,352,2484,184,-409,184,461,-32,309,184,67,184,67,184,79,-197,758,-197,499,184,269,3869,-14,87,42,-272,117,416,1063,37,-354
538,254,-126,254,2356,18,-18,254,339,1359,339,2,319,1102,319,491,206,167,6074,512,-41,448,1403,440,1125,-329,793,51,690,-329,690,417,690,919,445,440,1068,-200,643,-15,-321,303,288,587,-321,494,-345,4537,121,-236,121,84,772,587,-56,587,772,337,1493,-25,151,945,553,945,427,337,159,3375,151,33,296,3375,620,-412,620,334,159,651,620,131,620,131,620,69,-576,824,-576,375,620,265,4568,162,162,875,-630,33,185,1686,-133,-878
233,406,-251,406,1817,-7,27,406,279,739,279,205,149,4509,149,198,104,48,1764,1797,81,437,1194,607,632,-30,663,25,216,-30,216,429,216,1029,175,607,500,-213,282,25,-449,449,500,960,-449,691,-94,7480,27,-780,27,688,688,960,10,960,688,714,2544,-83,139,152,180,152,111,714,-15,3197,1174,-147,630,3197,231,-183,231,663,17,381,231,172,231,172,231,12,-332,444,-332,1100,231,170,4743,15,129,165,-650,-2,490,904,-165,-795
253,1137,-158,1137,3015,84,84,1137,727,519,727,53,196,4401,196,231,-28,136,-28,448,57,399,314,382,476,36,1295,39,470,36,470,483,470,1268,344,382,704,-181,181,27,-192,-19,802,1122,-192,72,212,-28,55,-580,55,716,932,1122,-84,1122,932,174,2188,-59,76,10,2090,10,155,174,272,2285,1500,-156,565,2285,-91,-322,-91,373,-69,277,-91,336,-91,336,-91,53,-358,1519,-358,2061,-91,404,5736,88,77,-61,-718,38,76,1064,-69,-592
58,494,169,494,4662,-38,250,494,336,1226,336,145,83,2282,83,264,615,227,35,1474,63,165,1014,733,618,-187,995,89,668,-187,668,888,668,2750,859,733,847,-182,-39,0,-329,142,1419,2440,-329,734,-302,5653,-54,-63,-54,1064,1494,2440,-48,2440,1494,471,3988,-97,437,50,163,50,127,471,163,3038,1307,-75,370,3038,67,-225,67,284,-152,315,67,771,67,771,67,115,-741,2365,-741,634,67,390,9475,18,68,2,-811,260,76,1330,-105,-1114
313,1845,-58,1845,5599,-171,276,1845,590,765,590,84,151,2128,151,180,442,207,1960,1644,26,195,2478,744,833,-69,1337,101,1188,-69,1188,630,1188,1961,548,744,1269,-133,583,41,-232,677,742,1010,-232,545,-269,4830,28,182,28,777,1096,1010,-80,1010,1096,419,2355,79,108,465,-166,465,149,419,215,2236,2077,-2,514,2236,155,-334,155,273,-114,358,155,602,155,602,155,67,-137,1585,-137,1683,155,362,11724,49,14,193,-364,240,100,1241,-79,-1587
-7,465,-137,465,1918,-30,103,465,255,344,255,12,151,348,151,247,207,134,301,433,18,386,437,414,549,-49,250,-94,344,-49,344,182,344,1336,448,414,628,-163,470,-7,-250,177,256,744,-250,440,-119,1644,139,-306,139,49,648,744,-51,744,648,267,1859,-40,-3,88,239,88,334,267,-12,1460,604,83,238,1460,266,-196,266,423,-37,309,266,275,266,275,266,117,-354,522,-354,357,266,262,2854,-21,80,122,-363,24,-43,1299,-54,-1174
263,1073,-97,1073,3045,7,147,1073,694,1164,694,105,132,1128,132,167,147,76,632,675,25,299,1255,410,596,-170,677,-17,318,-170,318,227,318,1114,399,410,667,-207,572,44,-190,43,520,1297,-190,113,-268,1671,93,-185,93,131,629,1297,-112,1297,629,226,1775,-36,122,529,-39,529,150,226,153,2867,911,-6,141,2867,142,-209,142,572,-43,485,142,318,142,318,142,36,-64,1614,-64,374,142,408,10066,86,42,43,-231,91,145,1241,-60,-588
61,3588,-109,3588,1033,-141,35,3588,611,894,611,146,241,1357,241,235,49,115,2983,497,-10,323,2235,698,738,-71,866,-123,891,-71,891,401,891,1623,315,698,826,-65,635,11,-3,105,298,2332,-3,78,-319,1327,102,-242,102,551,813,2332,-78,2332,813,111,2112,82,117,2779,453,2779,438,111,198,2772,1122,-89,345,2772,119,-375,119,251,-173,478,119,422,119,422,119,126,-493,1533,-493,181,119,406,11334,58,86,190,-473,71,235,953,-63,-725
325,677,-471,677,2260,133,181,677,571,610,571,75,252,177,252,561,88,116,3172,876,-49,637,5452,451,775,-342,487,-57,588,-342,588,585,588,1646,304,451,943,-68,952,35,-196,50,491,1724,-196,556,-464,3282,97,-836,97,103,633,1724,-39,1724,633,523,2124,-35,205,1036,303,1036,760,523,-38,3506,992,-16,398,3506,397,-953,397,758,43,842,397,362,397,362,397,140,-171,1492,-171,381,397,683,9059,152,36,2187,-429,101,82,1986,-103,-1354
250,2566,-250,2566,2392,-47,91,2566,1131,927,1131,129,89,3460,89,383,290,99,5,589,15,622,96,549,836,-139,588,-3,840,-139,840,324,840,1849,705,549,1175,-186,662,41,-313,-254,532,1499,-313,476,-36,1627,116,-775,116,488,998,1499,-84,1499,998,263,1825,-45,140,8,1358,8,217,263,101,2649,1256,-89,908,2649,-39,-348,-39,338,-155,654,-39,851,-39,851,-39,111,-242,1817,-242,2320,-39,702,4614,106,60,6,-899,30,-403,1875,-224,-2218
561,337,-471,337,1336,-152,167,337,784,1697,784,44,307,416,307,514,271,287,36,1369,-17,1019,191,582,1197,-350,552,-87,627,-350,627,425,627,1336,569,582,1346,-174,1005,-10,-416,-58,540,1216,-416,498,-444,2783,244,-996,244,-10,895,1216,-189,1216,895,395,1354,55,234,2,254,2,348,395,-234,4016,500,7,906,4016,183,-704,183,727,-169,306,183,688,183,688,183,253,-345,1497,-345,214,183,821,1236,86,183,5,-1182,35,-5,2582,-385,-2170
128,272,-250,272,2432,130,144,272,873,425,873,218,191,392,191,587,239,140,40,1266,29,669,521,467,1213,-241,334,93,439,-241,439,618,439,1162,372,467,790,-23,1241,98,-329,-157,282,1481,-329,1211,-415,1544,132,-306,132,-66,928,1481,-231,1481,928,124,2182,-74,137,130,-304,130,139,124,63,3108,1100,-197,763,3108,363,-346,363,355,47,1101,363,143,363,143,363,167,-236,1101,-236,429,363,369,7070,56,30,123,-573,116,-159,1669,-68,-1856
415,370,-115,370,2687,-18,306,370,546,529,546,110,120,7972,120,150,680,163,250,711,87,443,601,424,628,-125,898,25,925,-125,925,500,925,2253,507,424,1016,-51,506,4,-117,375,327,1270,-117,820,-249,1896,179,-452,179,1106,1665,1270,-81,1270,1665,472,2861,-10,101,201,-86,201,190,472,279,2560,1179,-34,201,2560,251,-330,251,92,-67,374,251,437,251,437,251,608,-5,1419,-5,1557,251,329,9553,95,85,95,-171,145,307,1249,-122,-313
448,321,-339,321,2164,23,33,321,846,1682,846,33,113,597,113,344,268,179,3,883,-30,672,53,487,826,-129,252,-49,280,-129,280,174,280,926,528,487,890,-268,590,-42,-400,-67,355,572,-400,485,-216,2372,190,-1276,190,120,762,572,-110,572,762,392,1346,-168,48,56,1168,56,414,392,119,2517,403,-232,620,2517,74,-352,74,704,-71,602,74,184,74,184,74,218,-328,1154,-328,1340,74,321,917,55,32,51,-442,149,-151,1717,-172,-1536
